X,Y,fid,full_id,osm_id,osm_type,amenity,operator,name:te,name,healthcare,layer,path
78.4284984,17.3632928,"1520",n6549152212,"6549152212",node,hospital,,,ZOI HOSPITALS,,hospital_polygon_centroids — centroids,C:\Users\Lakshya\Desktop\project_root\data\raw\hospital_polygon_centroids.gpkg|layername=centroids
78.5173801,17.3203965,"1521",n6549158450,"6549158450",node,hospital,,,SRI RADHIKA MULTI SPECIALITY HOSPITAL,,hospital_polygon_centroids — centroids,C:\Users\Lakshya\Desktop\project_root\data\raw\hospital_polygon_centroids.gpkg|layername=centroids
78.4399192,17.4366563,"1522",n6549159475,"6549159475",node,hospital,,,RAJA HOSPITAL,hospital,hospital_polygon_centroids — centroids,C:\Users\Lakshya\Desktop\project_root\data\raw\hospital_polygon_centroids.gpkg|layername=centroids
78.433091,17.4246755,"1523",n6549162107,"6549162107",node,hospital,,,THE BIRTHPLACE,hospital,hospital_polygon_centroids — centroids,C:\Users\Lakshya\Desktop\project_root\data\raw\hospital_polygon_centroids.gpkg|layername=centroids
78.4801617,17.4055156,"1524",n6549162110,"6549162110",node,hospital,,మాన్ కైండ్ హాస్పిటల్,MANKINDD HOSPITAL,,hospital_polygon_centroids — centroids,C:\Users\Lakshya\Desktop\project_root\data\raw\hospital_polygon_centroids.gpkg|layername=centroids
78.5322033,17.426232,"1525",n6549172458,"6549172458",node,hospital,,,PADMVATI MEDICAL CENTRE,,hospital_polygon_centroids — centroids,C:\Users\Lakshya\Desktop\project_root\data\raw\hospital_polygon_centroids.gpkg|layername=centroids
78.4273417,17.3696216,"1526",n6549176002,"6549176002",node,hospital,,,IRIS EYE HOSPITAL,,hospital_polygon_centroids — centroids,C:\Users\Lakshya\Desktop\project_root\data\raw\hospital_polygon_centroids.gpkg|layername=centroids
78.4614305,17.5084337,"1527",n6549183267,"6549183267",node,hospital,,,Lakshmi Sailaja Hospiatal,,hospital_polygon_centroids — centroids,C:\Users\Lakshya\Desktop\project_root\data\raw\hospital_polygon_centroids.gpkg|layername=centroids
78.3855052,17.4448396,"1528",n6549184413,"6549184413",node,hospital,,,Oakridge Hospitals,hospital,hospital_polygon_centroids — centroids,C:\Users\Lakshya\Desktop\project_root\data\raw\hospital_polygon_centroids.gpkg|layername=centroids
78.4712635,17.3910435,"1529",n6549186461,"6549186461",node,hospital,,,RAMA EYE HOSPITAL,,hospital_polygon_centroids — centroids,C:\Users\Lakshya\Desktop\project_root\data\raw\hospital_polygon_centroids.gpkg|layername=centroids
78.4422313,17.3893119,"1530",n6549189965,"6549189965",node,hospital,,,Sri Vijaya Hospitals,,hospital_polygon_centroids — centroids,C:\Users\Lakshya\Desktop\project_root\data\raw\hospital_polygon_centroids.gpkg|layername=centroids
78.348083,17.4921363,"1531",n6549190771,"6549190771",node,hospital,,,SRIKARA HOSPITALS,,hospital_polygon_centroids — centroids,C:\Users\Lakshya\Desktop\project_root\data\raw\hospital_polygon_centroids.gpkg|layername=centroids
78.3915214,17.4885611,"1532",n6549196760,"6549196760",node,hospital,,,Amrita ENT Head & Neck Hospital,,hospital_polygon_centroids — centroids,C:\Users\Lakshya\Desktop\project_root\data\raw\hospital_polygon_centroids.gpkg|layername=centroids
78.5179152,17.4185789,"1533",n6549197262,"6549197262",node,hospital,,,B.V.K. REDDY HOSPITAL,,hospital_polygon_centroids — centroids,C:\Users\Lakshya\Desktop\project_root\data\raw\hospital_polygon_centroids.gpkg|layername=centroids
